police_station,day_of_week,is_weekend,hour,total_violations_historical,n_distinct_junctions,top_junctions,latitude,longitude,vehicle_type,center_code
Adugodi,Friday,False,0,15,5,"[{'junction_name': 'No Junction', 'count': 6, 'share_pct': 40.0}, {'junction_name': 'BTP136 - Hosur-Tavarkere Road Junction', 'count': 4, 'share_pct': 26.7}, {'junction_name': 'BTP135 - UCO Bank Junction', 'count': 2, 'share_pct': 13.3}, {'junction_name': 'BTP126 - Dairy Circle', 'count': 2, 'share_pct': 13.3}, {'junction_name': 'BTP140 - Madiwala Check Post', 'count': 1, 'share_pct': 6.7}]",12.937626,77.614985,CAR,5.0
Adugodi,Friday,False,1,35,5,"[{'junction_name': 'BTP135 - UCO Bank Junction', 'count': 18, 'share_pct': 51.4}, {'junction_name': 'BTP126 - Dairy Circle', 'count': 7, 'share_pct': 20.0}, {'junction_name': 'No Junction', 'count': 6, 'share_pct': 17.1}, {'junction_name': 'BTP133 - Adugodi Junction', 'count': 2, 'share_pct': 5.7}, {'junction_name': 'BTP132 - Anepalya Junction', 'count': 2, 'share_pct': 5.7}]",12.9363861,77.6159,CAR,5.0
Adugodi,Friday,False,2,26,4,"[{'junction_name': 'No Junction', 'count': 11, 'share_pct': 42.3}, {'junction_name': 'BTP133 - Adugodi Junction', 'count': 8, 'share_pct': 30.8}, {'junction_name': 'BTP135 - UCO Bank Junction', 'count': 5, 'share_pct': 19.2}, {'junction_name': 'BTP126 - Dairy Circle', 'count': 2, 'share_pct': 7.7}]",12.93631645,77.61615574999999,SCOOTER,5.0
Adugodi,Friday,False,3,18,5,"[{'junction_name': 'BTP135 - UCO Bank Junction', 'count': 13, 'share_pct': 72.2}, {'junction_name': 'BTP133 - Adugodi Junction', 'count': 2, 'share_pct': 11.1}, {'junction_name': 'BTP140 - Madiwala Check Post', 'count': 1, 'share_pct': 5.6}, {'junction_name': 'No Junction', 'count': 1, 'share_pct': 5.6}, {'junction_name': 'BTP126 - Dairy Circle', 'count': 1, 'share_pct': 5.6}]",12.9362676,77.61565555,CAR,5.0
Adugodi,Friday,False,4,9,4,"[{'junction_name': 'No Junction', 'count': 4, 'share_pct': 44.4}, {'junction_name': 'BTP135 - UCO Bank Junction', 'count': 3, 'share_pct': 33.3}, {'junction_name': 'BTP123 - 10th Cross, Wilson Garden', 'count': 1, 'share_pct': 11.1}, {'junction_name': 'BTP140 - Madiwala Check Post', 'count': 1, 'share_pct': 11.1}]",12.9362148,77.6161818,CAR,5.0
Adugodi,Friday,False,5,34,4,"[{'junction_name': 'BTP135 - UCO Bank Junction', 'count': 18, 'share_pct': 52.9}, {'junction_name': 'BTP140 - Madiwala Check Post', 'count': 8, 'share_pct': 23.5}, {'junction_name': 'No Junction', 'count': 7, 'share_pct': 20.6}, {'junction_name': 'BTP134 - Mico Bande', 'count': 1, 'share_pct': 2.9}]",12.936050550000001,77.6161168,SCOOTER,5.0
Adugodi,Friday,False,6,16,3,"[{'junction_name': 'BTP135 - UCO Bank Junction', 'count': 11, 'share_pct': 68.8}, {'junction_name': 'No Junction', 'count': 4, 'share_pct': 25.0}, {'junction_name': 'BTP138 - Sarjapur Road Check Post', 'count': 1, 'share_pct': 6.2}]",12.9350893,77.61427985,SCOOTER,5.0
Adugodi,Friday,False,7,18,5,"[{'junction_name': 'BTP140 - Madiwala Check Post', 'count': 9, 'share_pct': 50.0}, {'junction_name': 'No Junction', 'count': 4, 'share_pct': 22.2}, {'junction_name': 'BTP136 - Hosur-Tavarkere Road Junction', 'count': 3, 'share_pct': 16.7}, {'junction_name': 'BTP138 - Sarjapur Road Check Post', 'count': 1, 'share_pct': 5.6}, {'junction_name': 'BTP135 - UCO Bank Junction', 'count': 1, 'share_pct': 5.6}]",12.9328488,77.61344815,SCOOTER,5.0
Adugodi,Friday,False,8,14,3,"[{'junction_name': 'No Junction', 'count': 7, 'share_pct': 50.0}, {'junction_name': 'BTP135 - UCO Bank Junction', 'count': 5, 'share_pct': 35.7}, {'junction_name': 'BTP134 - Mico Bande', 'count': 2, 'share_pct': 14.3}]",12.936317,77.6181331,CAR,5.0
Adugodi,Friday,False,9,3,1,"[{'junction_name': 'No Junction', 'count': 3, 'share_pct': 100.0}]",12.9409033,77.6244076,MOTOR CYCLE,5.0
Adugodi,Friday,False,12,1,1,"[{'junction_name': 'BTP135 - UCO Bank Junction', 'count': 1, 'share_pct': 100.0}]",12.934318,77.6125954,SCOOTER,5.0
Adugodi,Friday,False,18,1,1,"[{'junction_name': 'No Junction', 'count': 1, 'share_pct': 100.0}]",12.939439,77.6256263,MAXI-CAB,5.0
Adugodi,Friday,False,19,3,3,"[{'junction_name': 'BTP135 - UCO Bank Junction', 'count': 1, 'share_pct': 33.3}, {'junction_name': 'No Junction', 'count': 1, 'share_pct': 33.3}, {'junction_name': 'BTP138 - Sarjapur Road Check Post', 'count': 1, 'share_pct': 33.3}]",12.9336221,77.6176816,CAR,5.0
Adugodi,Friday,False,20,60,4,"[{'junction_name': 'No Junction', 'count': 55, 'share_pct': 91.7}, {'junction_name': 'BTP135 - UCO Bank Junction', 'count': 2, 'share_pct': 3.3}, {'junction_name': 'BTP140 - Madiwala Check Post', 'count': 2, 'share_pct': 3.3}, {'junction_name': 'BTP133 - Adugodi Junction', 'count': 1, 'share_pct': 1.7}]",12.9324966,77.631592,CAR,5.0
Adugodi,Friday,False,21,97,6,"[{'junction_name': 'No Junction', 'count': 89, 'share_pct': 91.8}, {'junction_name': 'BTP126 - Dairy Circle', 'count': 3, 'share_pct': 3.1}, {'junction_name': 'BTP133 - Adugodi Junction', 'count': 2, 'share_pct': 2.1}, {'junction_name': 'BTP135 - UCO Bank Junction', 'count': 1, 'share_pct': 1.0}, {'junction_name': 'BTP134 - Mico Bande', 'count': 1, 'share_pct': 1.0}, {'junction_name': 'BTP140 - Madiwala Check Post', 'count': 1, 'share_pct': 1.0}]",12.9327065,77.631308,CAR,5.0
Adugodi,Friday,False,22,37,3,"[{'junction_name': 'No Junction', 'count': 32, 'share_pct': 86.5}, {'junction_name': 'BTP138 - Sarjapur Road Check Post', 'count': 3, 'share_pct': 8.1}, {'junction_name': 'BTP140 - Madiwala Check Post', 'count': 2, 'share_pct': 5.4}]",12.9323171,77.631308,SCOOTER,5.0
Adugodi,Friday,False,23,41,5,"[{'junction_name': 'No Junction', 'count': 26, 'share_pct': 63.4}, {'junction_name': 'BTP135 - UCO Bank Junction', 'count': 8, 'share_pct': 19.5}, {'junction_name': 'BTP140 - Madiwala Check Post', 'count': 4, 'share_pct': 9.8}, {'junction_name': 'BTP136 - Hosur-Tavarkere Road Junction', 'count': 2, 'share_pct': 4.9}, {'junction_name': 'BTP126 - Dairy Circle', 'count': 1, 'share_pct': 2.4}]",12.9346071,77.6223209,SCOOTER,5.0
Adugodi,Monday,False,0,19,4,"[{'junction_name': 'No Junction', 'count': 10, 'share_pct': 52.6}, {'junction_name': 'BTP140 - Madiwala Check Post', 'count': 6, 'share_pct': 31.6}, {'junction_name': 'BTP134 - Mico Bande', 'count': 2, 'share_pct': 10.5}, {'junction_name': 'BTP133 - Adugodi Junction', 'count': 1, 'share_pct': 5.3}]",12.9348569,77.6172092,CAR,5.0
