police_station,day_of_week,hour,unique_vehicle_types,vehicle_types
Adugodi,Friday,0,5,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER']"
Adugodi,Friday,1,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Friday,2,6,"['CAR', 'GOODS AUTO', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Friday,3,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Friday,4,5,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER']"
Adugodi,Friday,5,5,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Friday,6,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Friday,7,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PRIVATE BUS', 'SCOOTER']"
Adugodi,Friday,8,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Friday,9,2,"['MOTOR CYCLE', 'SCOOTER']"
Adugodi,Friday,12,1,['SCOOTER']
Adugodi,Friday,18,1,['MAXI-CAB']
Adugodi,Friday,19,2,"['CAR', 'MOTOR CYCLE']"
Adugodi,Friday,20,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Friday,21,8,"['CAR', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
Adugodi,Friday,22,5,"['CAR', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Friday,23,6,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Monday,0,5,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Monday,1,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Monday,2,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Monday,3,5,"['CAR', 'JEEP', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Monday,4,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Monday,5,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Monday,6,7,"['CAR', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Monday,7,5,"['CAR', 'JEEP', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Monday,8,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Monday,9,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Monday,10,2,"['MOTOR CYCLE', 'SCOOTER']"
Adugodi,Monday,11,1,['PASSENGER AUTO']
Adugodi,Monday,12,1,['CAR']
Adugodi,Monday,13,1,['CAR']
Adugodi,Monday,14,1,['PASSENGER AUTO']
Adugodi,Monday,19,5,"['CAR', 'LGV', 'MAXI-CAB', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Monday,20,3,"['MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Monday,21,8,"['CAR', 'HGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
Adugodi,Monday,22,8,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Monday,23,6,"['CAR', 'HGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Saturday,0,6,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
Adugodi,Saturday,1,7,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCHOOL VEHICLE', 'SCOOTER', 'TEMPO']"
Adugodi,Saturday,2,6,"['CAR', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Saturday,3,5,"['CAR', 'JEEP', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Saturday,4,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Saturday,5,9,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Adugodi,Saturday,6,10,"['CAR', 'JEEP', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Saturday,7,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Saturday,8,5,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Adugodi,Saturday,9,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Saturday,10,4,"['CAR', 'LGV', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Saturday,11,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Saturday,12,3,"['CAR', 'MAXI-CAB', 'SCOOTER']"
Adugodi,Saturday,13,2,"['CAR', 'PASSENGER AUTO']"
Adugodi,Saturday,18,1,['MOTOR CYCLE']
Adugodi,Saturday,19,5,"['CAR', 'GOODS AUTO', 'LORRY/GOODS VEHICLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Saturday,20,2,"['CAR', 'SCOOTER']"
Adugodi,Saturday,21,7,"['CAR', 'HGV', 'JEEP', 'MOPED', 'MOTOR CYCLE', 'SCOOTER', 'VAN']"
Adugodi,Saturday,22,7,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Saturday,23,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
